postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3220,16352,156,5560,954,32,6,27/06/2022,2022-06-28
3221,754,7,240,928.4,1,6,27/06/2022,2022-06-28
3222,14962,176,5141,1176.3,29,7,27/06/2022,2022-06-28
3223,7401,56,2173,756.7,7,6,27/06/2022,2022-06-28
3224,14187,123,4562,867,19,6,27/06/2022,2022-06-28
3225,4058,55,1488,1355.3,8,7,27/06/2022,2022-06-28
3226,14161,136,5767,960.4,24,6,27/06/2022,2022-06-28
3227,4821,56,1592,1161.6,9,7,27/06/2022,2022-06-28
3228,17939,191,8052,1064.7,26,7,27/06/2022,2022-06-28
3230,2548,29,937,1138.1,6,7,27/06/2022,2022-06-28
3231,1257,26,510,2068.4,3,7,27/06/2022,2022-06-28
3232,1111,8,422,720.1,4,6,27/06/2022,2022-06-28
3233,2029,13,463,640.7,4,6,27/06/2022,2022-06-28
3234,179,0,0,0,0,0,27/06/2022,2022-06-28
3235,380,3,120,789.5,0,6,27/06/2022,2022-06-28
3236,230,4,46,1739.1,0,7,27/06/2022,2022-06-28
3237,218,3,32,1376.1,1,7,27/06/2022,2022-06-28
3238,219,6,47,2739.7,0,7,27/06/2022,2022-06-28
3239,423,7,92,1654.8,3,7,27/06/2022,2022-06-28
3240,2026,17,692,839.1,0,6,27/06/2022,2022-06-28
